ds,yhat,yhat_lower,yhat_upper
2018-05-14,27310.32487032293,23473.969565773208,31075.44181488653
2018-05-15,27986.630993663926,24222.80876881374,31654.790822825584
2018-05-16,28072.046944161357,24203.97337026208,31847.353502847636
2018-05-17,27989.422347357522,24109.70323414634,31454.18973218815
2018-05-18,27695.137374194866,23897.33099381199,31143.66110096858
2018-05-19,25283.04837920896,21717.51223748692,29005.656140128078
2018-05-20,24652.045116929894,21161.248266371396,28120.379872089583
2018-05-21,28064.769855886043,24440.05233987423,31746.634082204117
2018-05-22,28814.10123869155,25626.01166143787,32708.238092473104
2018-05-23,28976.627852961752,25384.698071704082,32704.15262400758
2018-05-24,28974.09795525708,25277.354148149105,32668.00014650067
2018-05-25,28761.624772891017,25069.06165127184,32532.746413140878
2018-05-26,26431.66596512839,23028.68876938392,30405.395015179503
2018-05-27,25881.61954591873,22170.107281253342,29427.150377701557
2018-05-28,29372.585454554224,25683.427881505697,32857.341490407365
2018-05-29,30195.894360618106,26378.769289851465,33884.05876172551
2018-05-30,30426.627314663358,26762.617328013,34176.08943940987
2018-05-31,30485.111283597304,27032.281009429476,34177.510729258116
2018-06-01,30325.16858397836,26587.69990216202,34159.13265724565
2018-06-02,28038.137418898477,24487.154068096283,31822.369200658268
2018-06-03,27520.504522139552,23848.472141691203,30966.635244534526
2018-06-04,31032.697915471228,27638.931780144027,34706.5399707835
2018-06-05,31865.640339479593,28226.974977351525,35442.886200665766
2018-06-06,32094.286130873315,28272.288055172008,35522.01156816555
2018-06-07,32139.125960669782,28481.801783274943,35794.22848689398
2018-06-08,31954.437057037772,28564.171554427056,35630.50923235339
2018-06-09,29632.295977685273,26009.23136322652,33352.73772757573
2018-06-10,29070.195049806414,25093.95363579825,32869.250552960824
2018-06-11,32529.810851450948,28737.400077890565,36395.23670868228
2018-06-12,33303.52590796851,29322.367009338315,36795.27439544288
2018-06-13,33467.92721796954,29926.611920987467,37238.778514151556
2018-06-14,33445.26707032538,29691.041885875828,37081.743918734675
2018-06-15,33191.66499886697,29428.128589214415,36802.120944037764
2018-06-16,30801.069303254524,27395.31048822362,34333.79291429268
2018-06-17,30172.82071916319,26431.69898035197,33887.67181909041
2018-06-18,33570.368135374316,30053.88171682656,37128.45669094235
2018-06-19,34287.73906919919,30320.889336157412,37903.51627987461
2018-06-20,34402.99002100691,30813.401754580587,38196.268925637654
